a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138690491,.068363393,  -0.014893209967364,35465.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135284626,.068992966,  -0.014892129521243,15483.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136503149,.068528517,  -0.014900808086788,51227.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135742010,.069632157,  -0.014886011394036,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134961161,.068018035,  -0.014892936312961,15828.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136362736,.067265467,  -0.014892090202814,18783.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138653613,.068942287,  -0.014892532371085,84508.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138637039,.068186931,  -0.014893002274353,50854.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136117417,.068258164,  -0.014900052900974,49643.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133312248,.068611895,  -0.014871199289176,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138210971,.069264057,  -0.014892708942394,24577.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137911794,.067893879,  -0.014896110287384,75849.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137426882,.069405087,  -0.014893697485745,18334.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134817310,.067105019,  -0.014882669231266,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136269912,.068872389,  -0.014898566701449, 5916.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137548354,.069748281,  -0.014887924778522,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136351213,.068204040,  -0.014900555570891,62354.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136893322,.069345552,  -0.014894756232003,26693.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.132894999,.069312394,  -0.014855021041605,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138438851,.068818669,  -0.014894724749389,74299.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135243163,.068347720,  -0.014895508004504, 9608.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136868253,.069813178,  -0.014886814302043,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136178873,.066668974,  -0.014879860010759,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138835735,.069638391,  -0.014883666281873,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139049694,.068711451,  -0.014890006962709,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134322546,.067366170,  -0.014881834546083,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137975489,.067832979,  -0.014895204340571,79749.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135452881,.068627511,  -0.014896128545904,61223.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137326109,.067629368,  -0.014895999690255,40016.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138069761,.068615193,  -0.014897620837980,66677.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133965821,.070060332,  -0.014857030023832,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135579775,.066314596,  -0.014868983774996,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137199707,.068596756,  -0.014900681923933,59789.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135222398,.068930489,  -0.014892256269389,23947.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135374185,.068107289,  -0.014896234348670,32878.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137934739,.067386056,  -0.014889807030572,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134109205,.068132953,  -0.014884348941328,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134844952,.068855719,  -0.014889588991948,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137730275,.068154037,  -0.014898688066687,77175.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136264545,.070121233,  -0.014878033867644,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135806914,.066424945,  -0.014872809344938,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137383289,.067762165,  -0.014897236848742,60713.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138089960,.069788622,  -0.014885548525996,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137761182,.069361286,  -0.014893473055244,  806.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.140215755,.068413976,  -0.014875278994993,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135124475,.067754919,  -0.014892785024954, 5548.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133911898,.067983386,  -0.014881549626990,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138580756,.068691536,  -0.014894120286521,28041.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138140626,.068618500,  -0.014897218703179, 4531.0
