a,b,c,d,e,f,g,h,x1,x2,y,calls
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137359808,.068710501,  -0.014900022065370,                68.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135372168,.068534182,  -0.014895981853207,               146.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138051279,.068253749,  -0.014897446113929,               160.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.134805971,.067978903,  -0.014891458588823,               219.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138060214,.067875850,  -0.014895083027680,                63.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135749769,.067713812,  -0.014896031859235,               173.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138287307,.069199867,  -0.014892956662328,                62.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135373953,.069028141,  -0.014892439629996,                76.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137662147,.068072473,  -0.014898572878400,                52.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138310910,.069321231,  -0.014891509742834,                75.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137149446,.069570109,  -0.014891447156426,               102.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138548355,.069066477,  -0.014892463472222,                76.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138124708,.069331472,  -0.014892375285521,                56.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135076886,.068124516,  -0.014894152866838,                82.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136100024,.067754743,  -0.014897585111468,               112.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136897229,.068551992,  -0.014901041070392,               167.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137959655,.067567123,  -0.014892290200438,               376.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137558034,.069431790,  -0.014893072962978,                93.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137744636,.067603893,  -0.014893966870233,               165.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137503807,.068210417,  -0.014899784637884,                73.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136022631,.067631650,  -0.014896225966422,                82.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135218400,.068570630,  -0.014894717038249,               102.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137787235,.069339445,  -0.014893664632152,                71.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136389719,.067345206,  -0.014893336281465,                54.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137671288,.069009574,  -0.014897414393099,               595.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137018300,.067240307,  -0.014891251267744,               390.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136424227,.069465870,  -0.014892105862812,               155.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135617635,.067834230,  -0.014896352807156,                80.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137227616,.068476849,  -0.014900834430076,               146.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136093362,.067280157,  -0.014891911701396,               114.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136332277,.069454011,  -0.014891996133062,                65.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137764366,.067433036,  -0.014891517254031,                71.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135591250,.067504910,  -0.014893208836369,               161.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136841153,.067388095,  -0.014893886778800,               377.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137498597,.067398422,  -0.014892266091430,               228.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138599714,.067902069,  -0.014891316640343,               684.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.134756212,.068420318,  -0.014891236997873,               152.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137612875,.068355527,  -0.014899751905191,                41.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138827794,.068740017,  -0.014891978918842,               152.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135970680,.068168706,  -0.014899398968865,               135.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136504156,.068862094,  -0.014899235431557,               205.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135763930,.067358472,  -0.014892082200568,                93.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135430849,.067966716,  -0.014896082570998,                98.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137329696,.069468477,  -0.014892922061874,                84.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137893823,.068190697,  -0.014898066029736,                64.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137533835,.068981225,  -0.014898033242000,                44.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138063531,.068009955,  -0.014896120360628,                56.0
