a,b,c,d,e,f,g,h,x,y,calls
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077062948,  -0.003931532988612,  296.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075661292,  -0.003928740633230,  277.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075910789,  -0.003930153047137,  645.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078304746,  -0.003923719278428,  213.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.074928025,  -0.003922261803837,  556.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077752745,  -0.003928369343559,   21.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076716436,  -0.003932000668862,   19.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076824861,  -0.003931935454931,    1.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076897154,  -0.003931850871084,   83.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078178377,  -0.003924948804153,  618.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076241764,  -0.003931411565859,   24.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075049116,  -0.003923572555716,   62.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077766278,  -0.003928277754790,  281.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077142744,  -0.003931318612799,   46.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075893202,  -0.003930066573525,  351.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076131909,  -0.003931071378848, 1187.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075574831,  -0.003928157755440,   75.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.074929226,  -0.003922275276426,   72.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078284799,  -0.003923919836633,  229.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076307353,  -0.003931578046441,  740.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075549515,  -0.003927977964634,  416.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076186242,  -0.003931249243085,  558.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076204749,  -0.003931305530239,  264.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076380284,  -0.003931731056011,  115.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077453519,  -0.003930104916284,  559.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077924071,  -0.003927126492081,  381.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077223119,  -0.003931062441742,  428.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076972107,  -0.003931728511604,  473.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.074955673,  -0.003922569514353,  466.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076013820,  -0.003930619838205, 1264.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075077164,  -0.003923862515362,  290.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075374752,  -0.003926623862124, 1450.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.074960854,  -0.003922626623469,  133.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075232030,  -0.003925371324120,  459.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076423269,  -0.003931805423098,   41.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078039744,  -0.003926185176698,  635.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076165564,  -0.003931183770369,  614.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078082983,  -0.003925812202088,  104.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077420483,  -0.003930262501464,  358.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077108360,  -0.003931415870971,  683.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076589405,  -0.003931982779559,  436.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076879515,  -0.003931874538170,   64.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075015457,  -0.003923217818774,  127.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078189990,  -0.003924839884414,  277.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078122517,  -0.003925461153891,  384.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075740918,  -0.003929234854561, 1027.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075704420,  -0.003929013385500,  180.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076977088,  -0.003931719131025,  227.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075515501,  -0.003927729887539, 1453.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075459091,  -0.003927301997237,   81.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076527421,  -0.003931937041544,  274.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077822589,  -0.003927884523000,  148.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077265643,  -0.003930910600419,  158.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.078343539,  -0.003923322257802,  258.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077526232,  -0.003929734196614,    1.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077628243,  -0.003929158837143,  868.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.078029941,  -0.003926268139961,  300.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077565151,  -0.003929522295988,  135.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077233508,  -0.003931026387876,    9.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.078016160,  -0.003926383767591, 1401.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.076354064,  -0.003931679934336,   87.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075140769,  -0.003924501076996,  648.0
